,PA01H:CO,PA01H:PM10,PA01H:PM25,PA01H:NO2,PA01H:NO,PA01H:NOX,PA01H:O3,OBJECTID
,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,0
,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,1
,Monoxyde de carbone,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,CO,PM10,PM25,NO2,NO,NOX,O3,3
,mg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/04 03:00:00+00,0.246000,25.600000,25.400000,,,,20.900000,79
2021/01/04 04:00:00+00,0.235000,23.300000,22.500000,,,,22.300000,80
2021/01/04 05:00:00+00,0.248000,22,21.300000,,,,16.500000,81
2021/01/04 06:00:00+00,0.254000,24.400000,24.700000,,,,11.600000,82
2021/01/04 07:00:00+00,0.254000,25.400000,25.700000,,,,8,83
2021/01/04 08:00:00+00,0.260000,21.900000,23.200000,,,,8.500000,84
2021/01/04 09:00:00+00,0.285000,21,21.700000,,,,6.200000,85
2021/01/04 10:00:00+00,0.280000,20.400000,19.300000,,,,7.900000,86
2021/01/04 11:00:00+00,0.291000,21.200000,20,,,,9.500000,87
2021/01/04 12:00:00+00,0.294000,,20.100000,,,,12.100000,88
2021/01/04 13:00:00+00,0.289000,23.500000,20.300000,,,,11.200000,89
2021/01/04 14:00:00+00,0.281000,21.700000,19.600000,,,,12.700000,90
2021/01/04 15:00:00+00,0.290000,19.700000,20.300000,,,,12.400000,91
2021/01/04 16:00:00+00,0.291000,19.800000,18.300000,,,,11.200000,92
2021/01/04 17:00:00+00,0.309000,19.700000,16.700000,,,,7.500000,93
2021/01/04 18:00:00+00,0.328000,19.400000,20,,,,5.200000,94
2021/01/04 19:00:00+00,0.342000,18.300000,19.300000,,,,3.600000,95
2021/01/04 20:00:00+00,0.335000,19.100000,18.300000,,,,4.100000,96
2021/01/04 21:00:00+00,0.336000,19.700000,16.900000,,,,4.300000,97
2021/01/04 22:00:00+00,0.341000,17.200000,18.800000,,,,3.700000,98
2021/01/04 23:00:00+00,0.354000,19.200000,19.100000,,,,2.800000,99
2021/01/05 00:00:00+00,0.343000,19.100000,21.200000,,,,2.700000,100
2021/01/05 01:00:00+00,0.342000,20.100000,21.500000,,,,3.300000,101
2021/01/05 02:00:00+00,0.345000,21.500000,22.200000,,,,3.800000,102
2021/01/05 03:00:00+00,0.334000,23.700000,22.200000,,,,5.200000,103
2021/01/05 04:00:00+00,0.320000,22.300000,24.300000,,,,5.600000,104
2021/01/05 05:00:00+00,0.310000,23.700000,25.200000,,,,5.300000,105
2021/01/05 06:00:00+00,0.293000,25.600000,23.400000,,,,4.700000,106
2021/01/05 07:00:00+00,0.316000,22.700000,22.700000,,,,3.800000,107
2021/01/05 08:00:00+00,0.321000,24.600000,22.100000,,,,4.200000,108
2021/01/05 09:00:00+00,0.354000,26.400000,23.900000,,,,4.800000,109
2021/01/05 10:00:00+00,,28.100000,26,,,,6.600000,110
2021/01/05 11:00:00+00,,28.600000,27.300000,,,,7.500000,111
2021/01/05 12:00:00+00,,26.500000,28.200000,,,,6.800000,112
2021/01/05 13:00:00+00,,31.800000,31.100000,,,,7.400000,113
2021/01/05 14:00:00+00,,31.600000,30.100000,,,,7.700000,114
2021/01/05 15:00:00+00,,30.500000,30.500000,,,,6.500000,115
2021/01/05 16:00:00+00,,34.400000,31,,,,3.600000,116
2021/01/05 17:00:00+00,,32.500000,30.600000,,,,2.400000,117
2021/01/05 18:00:00+00,,31.300000,31.700000,,,,2.900000,118
2021/01/05 19:00:00+00,,37.800000,33.600000,,,,2.800000,119
2021/01/05 20:00:00+00,,33.300000,33.300000,,,,3,120
2021/01/05 21:00:00+00,,34.100000,34.900000,,,,3.900000,121
2021/01/05 22:00:00+00,,34.400000,33.400000,,,,5.300000,122
