,PA01H:CO,PA01H:PM10,PA01H:PM25,PA01H:NO2,PA01H:NO,PA01H:NOX,PA01H:O3,OBJECTID
,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,0
,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,1
,Monoxyde de carbone,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,CO,PM10,PM25,NO2,NO,NOX,O3,3
,mg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/03/15 14:00:00+00,,11.300000,5.100000,20.700000,3.200000,25.500000,76.900000,1770
2021/03/15 15:00:00+00,,14.300000,6.500000,18.300000,2.600000,22.300000,77.600000,1771
2021/03/15 16:00:00+00,,12.400000,5.500000,20.600000,1.900000,23.600000,76,1772
2021/03/15 17:00:00+00,,11,6.100000,24.400000,2.100000,27.600000,71.800000,1773
2021/03/15 18:00:00+00,,12.100000,6.900000,28.600000,1.100000,30.200000,67,1774
2021/03/15 19:00:00+00,,11,6.600000,27.300000,0.600000,28.200000,68.400000,1775
2021/03/15 20:00:00+00,,11.700000,7.400000,24.900000,0.700000,26.100000,67.400000,1776
2021/03/15 21:00:00+00,,15.200000,9.400000,24.400000,2.100000,27.600000,63.600000,1777
2021/03/15 22:00:00+00,,17,11.100000,29.100000,2.100000,32.300000,56.300000,1778
2021/03/15 23:00:00+00,,21.900000,12.400000,28.500000,1.600000,30.900000,54.800000,1779
2021/03/16 00:00:00+00,,17.500000,12.500000,31.100000,1.400000,33.300000,49.200000,1780
2021/03/16 01:00:00+00,,16.100000,12.500000,26,1.100000,27.600000,52.100000,1781
2021/03/16 02:00:00+00,,13.800000,11,27.400000,1.400000,29.500000,47.400000,1782
2021/03/16 03:00:00+00,,13.400000,10.500000,26.400000,0.800000,27.500000,48.600000,1783
2021/03/16 04:00:00+00,,14.600000,11.400000,25.400000,0.800000,26.600000,47.700000,1784
2021/03/16 05:00:00+00,,21.100000,16.400000,27.800000,0.900000,29.200000,40,1785
2021/03/16 06:00:00+00,,24,19,35.900000,1.400000,38.100000,29.500000,1786
2021/03/16 07:00:00+00,,24.800000,20,48.800000,6.200000,58.300000,16.800000,1787
2021/03/16 08:00:00+00,,27.600000,20.700000,53.200000,20.800000,85.100000,14.100000,1788
2021/03/16 09:00:00+00,,31.200000,21.300000,44.700000,16.400000,69.900000,19,1789
2021/03/16 10:00:00+00,,29.600000,21.600000,38.400000,14.100000,59.900000,25.400000,1790
2021/03/16 11:00:00+00,,29.500000,21.700000,36.400000,8.600000,49.500000,31.200000,1791
2021/03/16 12:00:00+00,,27.100000,22.400000,35.200000,8.200000,47.800000,34.600000,1792
2021/03/16 13:00:00+00,,22.700000,18.800000,33.200000,6.200000,42.800000,41.400000,1793
2021/03/16 14:00:00+00,,24.700000,16.800000,35.400000,6.500000,45.300000,38.100000,1794
2021/03/16 15:00:00+00,,19.100000,13.900000,35,5.600000,43.600000,36.700000,1795
2021/03/16 16:00:00+00,,15.600000,11.400000,36.700000,4.700000,43.800000,29.200000,1796
2021/03/16 17:00:00+00,,12.500000,10.200000,37.600000,4.500000,44.400000,23.200000,1797
2021/03/16 18:00:00+00,,14,11.600000,37.900000,3,42.600000,28.600000,1798
2021/03/16 19:00:00+00,,16.700000,13.800000,36.600000,1.800000,39.300000,29.600000,1799
2021/03/16 20:00:00+00,,16.300000,13.900000,33.500000,1.700000,36,31.300000,1800
2021/03/16 21:00:00+00,,15.400000,13,26.700000,1.900000,29.600000,34.700000,1801
2021/03/16 22:00:00+00,,13.100000,8.900000,18.400000,1.900000,21.400000,49.600000,1802
2021/03/16 23:00:00+00,,10.400000,4.400000,11.700000,1.100000,13.400000,67.400000,1803
2021/03/17 00:00:00+00,,14.100000,6.600000,14.900000,0.800000,16.100000,68.800000,1804
2021/03/17 01:00:00+00,,14.200000,7.900000,11.400000,0.800000,12.800000,69,1805
2021/03/17 02:00:00+00,,20.100000,10.100000,10.600000,0.700000,11.700000,66.600000,1806
2021/03/17 03:00:00+00,,26.300000,13,10,1.100000,11.600000,66.800000,1807
2021/03/17 04:00:00+00,,23,11.400000,11.200000,1,12.600000,66.300000,1808
2021/03/17 05:00:00+00,,17.200000,9.800000,13.900000,0.700000,15,64.600000,1809
2021/03/17 06:00:00+00,,10.900000,6.300000,13.300000,0.600000,14.300000,64.900000,1810
2021/03/17 07:00:00+00,,4.800000,3.400000,21.500000,1,23,55.600000,1811
2021/03/17 08:00:00+00,,11.200000,5.900000,31.900000,2.400000,35.600000,44.600000,1812
2021/03/17 09:00:00+00,,24.900000,12.200000,34.400000,4.800000,41.600000,48,1813
2021/03/17 10:00:00+00,,30.500000,15.100000,28.400000,3.300000,33.400000,53.600000,1814
2021/03/17 11:00:00+00,,26.800000,14,21.200000,4.400000,27.900000,62.500000,1815
2021/03/17 12:00:00+00,,25.600000,14.300000,17.800000,4.100000,24,65.600000,1816
2021/03/17 13:00:00+00,,27,13.800000,17.100000,2.700000,21.300000,66.300000,1817
2021/03/17 14:00:00+00,,28,14.400000,20.200000,2.600000,24.200000,62.300000,1818
2021/03/17 15:00:00+00,,25.200000,12.600000,19.600000,2.700000,24,65.700000,1819
2021/03/17 16:00:00+00,,14.400000,8.900000,28.700000,2.200000,32,53.200000,1820
2021/03/17 17:00:00+00,,10.200000,6.800000,28.300000,1.800000,30.900000,57.500000,1821
2021/03/17 18:00:00+00,,5.500000,4.400000,22.700000,1,24.200000,59.500000,1822
2021/03/17 19:00:00+00,,7.500000,5.700000,30.100000,1.100000,31.800000,50,1823
2021/03/17 20:00:00+00,,12.700000,8.300000,26.500000,0.800000,27.800000,56.600000,1824
2021/03/17 21:00:00+00,,18.200000,10.200000,24.700000,1.300000,26.800000,55.200000,1825
2021/03/17 22:00:00+00,,17.800000,10.500000,29.100000,2.600000,33,51.300000,1826
2021/03/17 23:00:00+00,,15.700000,9.100000,19.300000,1.600000,21.700000,59.800000,1827
2021/03/18 00:00:00+00,,13,8.200000,14.700000,1.500000,16.800000,62.200000,1828
2021/03/18 01:00:00+00,,12.600000,8,12.300000,0.700000,13.300000,64.400000,1829
2021/03/18 02:00:00+00,,15.900000,9,12.700000,0.700000,13.800000,64.600000,1830
2021/03/18 03:00:00+00,,17.900000,9.800000,16.500000,1.500000,18.800000,60.300000,1831
2021/03/18 04:00:00+00,,16.400000,9,23.700000,2.200000,27.100000,55.800000,1832
2021/03/18 05:00:00+00,,13.800000,8.200000,17.600000,1.100000,19.300000,59.200000,1833
2021/03/18 06:00:00+00,,15.400000,8.600000,33.900000,1.300000,35.800000,42.500000,1834
2021/03/18 07:00:00+00,,19.500000,9.900000,50.100000,4.200000,56.600000,26.500000,1835
2021/03/18 08:00:00+00,,21.400000,10.900000,45.300000,8.300000,58,35.300000,1836
2021/03/18 09:00:00+00,,26.200000,12.500000,41.200000,9.800000,56.200000,38.800000,1837
2021/03/18 10:00:00+00,,25,12.800000,31.900000,5.300000,40.100000,49.300000,1838
2021/03/18 11:00:00+00,,23.800000,12.200000,26.200000,4.300000,32.800000,53.800000,1839
2021/03/18 12:00:00+00,,21.200000,11.200000,23,3.700000,28.600000,58.100000,1840
2021/03/18 13:00:00+00,,11.100000,6.400000,28,5.300000,36.200000,52.400000,1841
2021/03/18 14:00:00+00,,12,6.700000,26.500000,4.100000,32.800000,54.800000,1842
2021/03/18 15:00:00+00,,9.800000,5.900000,27.700000,5.200000,35.700000,54.400000,1843
2021/03/18 16:00:00+00,,9.700000,5,27.700000,3.100000,32.500000,53.400000,1844
2021/03/18 17:00:00+00,,6.400000,4,24.700000,2,27.700000,60,1845
2021/03/18 18:00:00+00,,8.800000,6.500000,40.100000,1.700000,42.700000,40.600000,1846
2021/03/18 19:00:00+00,,8.200000,6.600000,30.100000,1.200000,32,53.100000,1847
2021/03/18 20:00:00+00,,7.200000,5.800000,24.300000,1,25.800000,55.400000,1848
2021/03/18 21:00:00+00,,9.300000,6.900000,23,1.100000,24.600000,55.100000,1849
2021/03/18 22:00:00+00,,10.900000,7.400000,25.600000,1.700000,28.200000,54.400000,1850
2021/03/18 23:00:00+00,,12.500000,8.300000,24.900000,1.700000,27.500000,53.800000,1851
2021/03/19 00:00:00+00,,6.500000,4.400000,13.400000,1.100000,15.200000,66.500000,1852
2021/03/19 01:00:00+00,,5.800000,3.900000,12.100000,0.900000,13.500000,66,1853
2021/03/19 02:00:00+00,,9.100000,4.300000,12.800000,0.600000,13.800000,65.700000,1854
2021/03/19 03:00:00+00,,9.300000,5.400000,10,0.500000,10.800000,69.100000,1855
2021/03/19 04:00:00+00,,9,5.600000,10.600000,0.700000,11.700000,69.300000,1856
2021/03/19 05:00:00+00,,7.200000,5.600000,17.800000,0.600000,18.700000,61.700000,1857
2021/03/19 06:00:00+00,,12.200000,9.500000,21.800000,1,23.100000,55.600000,1858
2021/03/19 07:00:00+00,,16.400000,13,33.600000,2.500000,37.300000,45.300000,1859
2021/03/19 08:00:00+00,,17.800000,12.400000,31.700000,5.200000,39.600000,48.400000,1860
2021/03/19 09:00:00+00,,19.600000,13.600000,26.200000,6.600000,36.300000,53.300000,1861
2021/03/19 10:00:00+00,,21.100000,14.700000,19.900000,5.800000,28.700000,58.600000,1862
2021/03/19 11:00:00+00,,19.600000,14.700000,16.900000,4.500000,23.800000,64.400000,1863
2021/03/19 12:00:00+00,,20.500000,16.300000,16.700000,4,22.800000,64.500000,1864
2021/03/19 13:00:00+00,,21.900000,16.900000,15.300000,4.400000,22,66.300000,1865
2021/03/19 14:00:00+00,,19.200000,14.500000,15.200000,4.100000,21.500000,69.100000,1866
2021/03/19 15:00:00+00,,19.300000,14.500000,16.700000,3.600000,22.200000,69.900000,1867
2021/03/19 16:00:00+00,,16.500000,11.600000,19.100000,3.500000,24.400000,67.800000,1868
2021/03/19 17:00:00+00,,13,8.500000,21.600000,3.100000,26.200000,67,1869
2021/03/19 18:00:00+00,,11.900000,7.500000,25.100000,2,28.200000,63.700000,1870
2021/03/19 19:00:00+00,,11,7.200000,33.400000,1.100000,35.100000,55.800000,1871
2021/03/19 20:00:00+00,,11.400000,8,35.200000,0.900000,36.600000,52,1872
2021/03/19 21:00:00+00,,13.300000,9.600000,32.400000,1,33.900000,53.300000,1873
2021/03/19 22:00:00+00,,14.900000,11.400000,32.700000,0.800000,33.800000,49.600000,1874
2021/03/19 23:00:00+00,,17.900000,13.100000,35.200000,1,36.700000,43.300000,1875
2021/03/20 00:00:00+00,,23.100000,18.300000,31.100000,0.900000,32.600000,41.900000,1876
2021/03/20 01:00:00+00,,27.700000,23.100000,29.800000,0.900000,31.200000,40.400000,1877
2021/03/20 02:00:00+00,,27.800000,23.300000,28.700000,1,30.200000,39.300000,1878
2021/03/20 03:00:00+00,,27.800000,22.800000,29.200000,0.800000,30.500000,37.400000,1879
2021/03/20 04:00:00+00,,27.700000,22.600000,26.200000,1,27.600000,37.900000,1880
2021/03/20 05:00:00+00,,28.900000,23.900000,27.300000,0.900000,28.700000,37.800000,1881
2021/03/20 06:00:00+00,,22.200000,18.400000,27,1.200000,28.800000,38.600000,1882
2021/03/20 07:00:00+00,,23.200000,18.800000,32.900000,2.400000,36.500000,37.600000,1883
2021/03/20 08:00:00+00,,21.100000,15.700000,26.700000,4.200000,33.200000,48.100000,1884
2021/03/20 09:00:00+00,,20.300000,15.700000,19.600000,4.100000,25.800000,56.700000,1885
2021/03/20 10:00:00+00,,19.700000,14.500000,15.900000,2.500000,19.700000,63.400000,1886
2021/03/20 11:00:00+00,,21.900000,16.200000,14.700000,2.900000,19.300000,62.700000,1887
2021/03/20 12:00:00+00,,23.500000,19.100000,12.800000,3.300000,17.800000,65.300000,1888
2021/03/20 13:00:00+00,,22.900000,19.500000,12.100000,3.100000,16.800000,67.900000,1889
2021/03/20 14:00:00+00,,21.400000,17.800000,11.600000,2.600000,15.500000,70.800000,1890
2021/03/20 15:00:00+00,,19.500000,15.400000,11.700000,2.200000,15.200000,76.500000,1891
2021/03/20 16:00:00+00,,20.100000,15.400000,12.500000,1.900000,15.400000,77.100000,1892
2021/03/20 17:00:00+00,,23.400000,19.200000,14.300000,1.300000,16.400000,73.900000,1893
2021/03/20 18:00:00+00,,30.400000,24.300000,20.900000,1.200000,22.600000,66,1894
2021/03/20 19:00:00+00,,27.100000,23.800000,30.300000,0.500000,31.200000,55.600000,1895
2021/03/20 20:00:00+00,,30.700000,26.100000,44.100000,0.800000,45.300000,43.200000,1896
2021/03/20 21:00:00+00,,31.800000,28.600000,43.500000,1.100000,45.100000,44.500000,1897
2021/03/20 22:00:00+00,,25.900000,22.900000,29.900000,0.900000,31.200000,54.400000,1898
2021/03/20 23:00:00+00,,18.100000,15.800000,26.500000,0.800000,27.600000,51,1899
2021/03/21 00:00:00+00,,17.400000,15.100000,28.500000,0.700000,29.500000,45.900000,1900
2021/03/21 01:00:00+00,,16.500000,14.600000,29.800000,0.700000,30.900000,42.600000,1901
2021/03/21 02:00:00+00,,16.700000,14.900000,26.100000,0.700000,27.100000,44.400000,1902
2021/03/21 03:00:00+00,,16,14.600000,21.800000,0.600000,22.800000,47.300000,1903
2021/03/21 04:00:00+00,,15.400000,14.200000,26.800000,0.700000,27.800000,45.500000,1904
2021/03/21 05:00:00+00,,17.900000,16.600000,22.600000,0.600000,23.600000,48.500000,1905
2021/03/21 06:00:00+00,,20.400000,19.100000,23.800000,0.700000,24.900000,42.700000,1906
2021/03/21 07:00:00+00,,24,22,24.400000,1.100000,25.900000,38.100000,1907
2021/03/21 08:00:00+00,,27.600000,24.800000,25.700000,1.600000,28.200000,33,1908
2021/03/21 09:00:00+00,,29.300000,26.900000,24.900000,2.600000,28.700000,31.100000,1909
2021/03/21 10:00:00+00,,35.700000,32.100000,25.100000,5.300000,33.300000,27.400000,1910
2021/03/21 11:00:00+00,,38.500000,33.400000,22.100000,7,32.900000,31,1911
2021/03/21 12:00:00+00,,33.500000,28.700000,20.600000,3.900000,26.600000,35.300000,1912
2021/03/21 13:00:00+00,,24.200000,21.300000,13.400000,3.300000,18.300000,53.100000,1913
2021/03/21 14:00:00+00,,15.500000,11.800000,11.400000,2.100000,14.600000,71.400000,1914
2021/03/21 15:00:00+00,,14,9.600000,10.200000,1.400000,12.400000,74.800000,1915
2021/03/21 16:00:00+00,,12.200000,7.900000,9.900000,1.400000,12.200000,80.400000,1916
2021/03/21 17:00:00+00,,12.900000,7.400000,10.800000,1.100000,12.600000,81.400000,1917
2021/03/21 18:00:00+00,,12.300000,7.300000,14.500000,0.800000,15.800000,79,1918
2021/03/21 19:00:00+00,,10.200000,6.600000,15.700000,0.600000,16.700000,77.100000,1919
2021/03/21 20:00:00+00,,15.100000,9,13.200000,0.700000,14.200000,78.200000,1920
2021/03/21 21:00:00+00,,15.800000,10,13.400000,0.600000,14.300000,77,1921
2021/03/21 22:00:00+00,,15.600000,9.700000,10.800000,0.400000,11.500000,78.800000,1922
2021/03/21 23:00:00+00,,19,10.700000,9.500000,0.500000,10.200000,81.100000,1923
2021/03/22 00:00:00+00,,18.600000,10.700000,9.800000,0.400000,10.500000,80.200000,1924
2021/03/22 01:00:00+00,,14.600000,9,8.900000,0.300000,9.300000,80.500000,1925
2021/03/22 02:00:00+00,,16.100000,10,8.300000,0.500000,9,81.300000,1926
2021/03/22 03:00:00+00,,16.100000,10,8.900000,0.600000,9.800000,80.400000,1927
2021/03/22 04:00:00+00,,16.800000,9.700000,12,0.400000,12.600000,75.100000,1928
2021/03/22 05:00:00+00,,15.400000,9,15.700000,0.600000,16.700000,69.400000,1929
2021/03/22 06:00:00+00,,15.100000,8.500000,28,0.900000,29.500000,56.200000,1930
2021/03/22 07:00:00+00,,15.300000,8.200000,41.400000,3.400000,46.700000,45.700000,1931
2021/03/22 08:00:00+00,,20.100000,9.400000,39.700000,7.100000,50.600000,49.900000,1932
2021/03/22 09:00:00+00,,25.700000,11.700000,26.300000,5,34,63.800000,1933
2021/03/22 10:00:00+00,,19.500000,10.700000,18,3.100000,22.700000,72.100000,1934
2021/03/22 11:00:00+00,,16.700000,8.900000,17.500000,1.800000,20.300000,71.900000,1935
2021/03/22 12:00:00+00,,18.100000,9.700000,18.400000,1.700000,21.100000,71.600000,1936
2021/03/22 13:00:00+00,,18.800000,10.700000,19.100000,5.200000,27,73.500000,1937
2021/03/22 14:00:00+00,,19.700000,11.700000,15,2,18,78.300000,1938
2021/03/22 15:00:00+00,,18.200000,10.800000,14.100000,1.700000,16.600000,78.300000,1939
2021/03/22 16:00:00+00,,18.900000,11,16.100000,1.600000,18.600000,75.900000,1940
2021/03/22 17:00:00+00,,18.900000,12,17.900000,1.200000,19.600000,73.100000,1941
2021/03/22 18:00:00+00,,19.400000,13.200000,22.700000,0.600000,23.600000,67.800000,1942
2021/03/22 19:00:00+00,,19.100000,14.400000,27.900000,0.500000,28.800000,61.400000,1943
2021/03/22 20:00:00+00,,21.500000,16,26.700000,0.700000,27.800000,61.700000,1944
2021/03/22 21:00:00+00,,23.500000,18,28.200000,0.500000,28.900000,60.800000,1945
2021/03/22 22:00:00+00,,23.200000,18.800000,22.400000,0.500000,23.200000,63.400000,1946
2021/03/22 23:00:00+00,,25.300000,19.400000,27.200000,0.600000,28.100000,56.900000,1947
2021/03/23 00:00:00+00,,24.300000,19.100000,28.700000,0.600000,29.500000,55.200000,1948
2021/03/23 01:00:00+00,,24.300000,19.700000,28.500000,0.700000,29.600000,53.600000,1949
2021/03/23 02:00:00+00,,25,20.100000,26.700000,0.800000,28.100000,55.200000,1950
2021/03/23 03:00:00+00,,25.200000,20.300000,24.400000,0.700000,25.400000,56.400000,1951
2021/03/23 04:00:00+00,,25.300000,20.500000,33.800000,1.100000,35.500000,43.500000,1952
2021/03/23 05:00:00+00,,25.100000,20.900000,37.800000,1.100000,39.500000,40,1953
2021/03/23 06:00:00+00,,33.900000,25.400000,77.800000,38.800000,137.400000,3.300000,1954
2021/03/23 07:00:00+00,,42.300000,29.300000,81.800000,93.300000,224.900000,4.500000,1955
2021/03/23 08:00:00+00,,51.500000,34.300000,85.200000,104.100000,244.800000,8.500000,1956
2021/03/23 09:00:00+00,,45.700000,30.500000,66.300000,37.200000,123.300000,27.400000,1957
2021/03/23 10:00:00+00,,37.200000,26.300000,44.700000,15.500000,68.400000,50,1958
2021/03/23 11:00:00+00,,33.200000,23.600000,34.400000,10.600000,50.700000,59.200000,1959
2021/03/23 12:00:00+00,,29.700000,20.300000,25.800000,7.100000,36.600000,68.600000,1960
2021/03/23 13:00:00+00,,30.800000,21,29.500000,8.500000,42.500000,64.800000,1961
2021/03/23 14:00:00+00,,33.700000,22.500000,35.600000,10.500000,51.700000,60.600000,1962
2021/03/23 15:00:00+00,,36,23.500000,39.900000,10.200000,55.500000,59.800000,1963
2021/03/23 16:00:00+00,,37.700000,23,41.200000,8.200000,53.800000,58.900000,1964
2021/03/23 17:00:00+00,,36.700000,21.200000,40.700000,4.700000,47.900000,59.400000,1965
2021/03/23 18:00:00+00,,35,20.800000,49.400000,2.600000,53.300000,49.300000,1966
2021/03/23 19:00:00+00,,31.300000,21.100000,57.400000,1.100000,59.100000,41.100000,1967
2021/03/23 20:00:00+00,,34,24.100000,68.200000,1.300000,70.300000,26.300000,1968
2021/03/23 21:00:00+00,,35.300000,27.200000,70.600000,1.700000,73.200000,30.600000,1969
2021/03/23 22:00:00+00,,36.100000,29.100000,60.700000,1,62.200000,33.300000,1970
2021/03/23 23:00:00+00,,36.900000,31.200000,57.700000,1.200000,59.500000,32.400000,1971
2021/03/24 00:00:00+00,,39.800000,33.700000,53.700000,1,55.300000,33,1972
2021/03/24 01:00:00+00,,43.300000,37.100000,66,1.700000,68.500000,17.900000,1973
2021/03/24 02:00:00+00,,46.300000,39.700000,65.600000,1.700000,68.200000,17.200000,1974
2021/03/24 03:00:00+00,,46.800000,41.300000,62,1.600000,64.500000,15.700000,1975
2021/03/24 04:00:00+00,,48.200000,42.900000,63.300000,2.400000,67.100000,11.600000,1976
2021/03/24 05:00:00+00,,50.200000,44.200000,65.700000,4.300000,72.400000,7.400000,1977
2021/03/24 06:00:00+00,,53.400000,45.900000,68.900000,14.800000,91.700000,3.500000,1978
2021/03/24 07:00:00+00,,59.500000,47.500000,69.700000,51,147.800000,5.400000,1979
2021/03/24 08:00:00+00,,70.400000,51.700000,69.600000,77.600000,188.500000,9,1980
2021/03/24 09:00:00+00,,83,55.100000,71.500000,84.800000,201.500000,12.300000,1981
2021/03/24 10:00:00+00,,72.500000,46.200000,69.800000,55.600000,155,22.900000,1982
2021/03/24 11:00:00+00,,39,23.200000,36.600000,11.900000,54.800000,60.500000,1983
2021/03/24 12:00:00+00,,22.500000,13.600000,17.100000,3.600000,22.500000,80,1984
2021/03/24 13:00:00+00,,22.900000,14.500000,16.700000,3.300000,21.800000,82.300000,1985
2021/03/24 14:00:00+00,,25.800000,13,18.200000,3.600000,23.700000,84.300000,1986
2021/03/24 15:00:00+00,,26.600000,13.900000,16.500000,2.900000,20.900000,86.900000,1987
2021/03/24 16:00:00+00,,21.700000,11.300000,14.700000,1.900000,17.600000,91.200000,1988
2021/03/24 17:00:00+00,,23.400000,11.600000,18.700000,1.400000,20.900000,85.800000,1989
2021/03/24 18:00:00+00,,21.700000,11.700000,23.400000,1.100000,25.100000,80.200000,1990
2021/03/24 19:00:00+00,,19.600000,11.600000,25.900000,0.500000,26.600000,75.500000,1991
2021/03/24 20:00:00+00,,33.300000,22.100000,27.300000,0.900000,28.700000,73.200000,1992
2021/03/24 21:00:00+00,,34,24.900000,21.300000,1,22.800000,75.500000,1993
2021/03/24 22:00:00+00,,32.800000,24.400000,20.300000,0.900000,21.600000,71.300000,1994
2021/03/24 23:00:00+00,,27.700000,20.600000,17.700000,0.500000,18.400000,68.100000,1995
2021/03/25 00:00:00+00,,24.800000,18,,,,60.500000,1996
2021/03/25 01:00:00+00,,26,19,27.100000,0.700000,28.100000,62.400000,1997
2021/03/25 02:00:00+00,,30.100000,21.800000,31.800000,0.700000,32.900000,52.500000,1998
2021/03/25 03:00:00+00,,33.800000,25.500000,32.900000,0.600000,33.800000,49.400000,1999
2021/03/25 04:00:00+00,,37,28.400000,45.300000,1.100000,46.900000,35.400000,2000
2021/03/25 05:00:00+00,,34.700000,27.700000,39,1,40.600000,45.700000,2001
2021/03/25 06:00:00+00,,21.300000,18,19.900000,0.700000,20.800000,61.600000,2002
2021/03/25 07:00:00+00,,21.300000,18.100000,40.700000,1.600000,43,42.600000,2003
2021/03/25 08:00:00+00,,25.300000,20.400000,58.800000,10.300000,74.500000,28.700000,2004
2021/03/25 09:00:00+00,,38.900000,24.700000,74.700000,33.100000,125.400000,16.500000,2005
2021/03/25 10:00:00+00,,37.900000,23.500000,46.900000,12.100000,65.400000,34.900000,2006
2021/03/25 11:00:00+00,,26.600000,16.800000,29.700000,5.700000,38.600000,37.200000,2007
2021/03/25 12:00:00+00,,20.200000,15.500000,25.600000,5,33.200000,38.700000,2008
2021/03/25 13:00:00+00,,19.300000,15.100000,26.800000,4.200000,33.200000,49.400000,2009
2021/03/25 14:00:00+00,,19.500000,14.500000,17.200000,3.600000,22.700000,64.500000,2010
2021/03/25 15:00:00+00,,16.200000,10,16.100000,2.300000,19.500000,72.700000,2011
2021/03/25 16:00:00+00,,11.700000,7,15.600000,2.400000,19.400000,76.700000,2012
2021/03/25 17:00:00+00,,12.900000,6.100000,16.200000,1.600000,18.800000,76.800000,2013
2021/03/25 18:00:00+00,,12.900000,5.100000,17.800000,1,19.400000,77.100000,2014
2021/03/25 19:00:00+00,,11.700000,6.100000,31.400000,0.700000,32.500000,62.300000,2015
2021/03/25 20:00:00+00,,14.700000,8.500000,47,1.200000,48.900000,45.200000,2016
2021/03/25 21:00:00+00,,17.700000,11.700000,48.500000,1.500000,50.800000,46.800000,2017
2021/03/25 22:00:00+00,,14,8.900000,31.600000,1,33,61.100000,2018
2021/03/25 23:00:00+00,,13.400000,8.300000,30.100000,0.800000,31.300000,56.200000,2019
2021/03/26 00:00:00+00,,16.200000,9.700000,43.200000,1.100000,44.900000,40.200000,2020
2021/03/26 01:00:00+00,,18.100000,12.500000,51.200000,1,52.700000,29.300000,2021
2021/03/26 02:00:00+00,,19.700000,14,53.100000,1.700000,55.600000,28.300000,2022
2021/03/26 03:00:00+00,,17.700000,11.300000,42.600000,1.200000,44.500000,36.900000,2023
2021/03/26 04:00:00+00,,16.300000,11.200000,45.400000,1,46.900000,27.400000,2024
2021/03/26 05:00:00+00,,16.500000,11.400000,54.600000,2,57.600000,18.600000,2025
2021/03/26 06:00:00+00,,16.900000,10.300000,61.300000,4.200000,67.800000,13,2026
2021/03/26 07:00:00+00,,16.800000,9.700000,67.300000,13.600000,88.200000,11.400000,2027
2021/03/26 08:00:00+00,,20.400000,10.300000,69.600000,22.900000,104.700000,12.500000,2028
2021/03/26 09:00:00+00,,23.600000,11,61.100000,20.500000,92.500000,23.400000,2029
2021/03/26 10:00:00+00,,24.500000,11.800000,45.900000,18.200000,73.800000,37.900000,2030
2021/03/26 11:00:00+00,,19.900000,7.400000,19.400000,5.500000,27.800000,70.100000,2031
2021/03/26 12:00:00+00,,14.900000,5,13.200000,2.900000,17.700000,76.400000,2032
2021/03/26 13:00:00+00,,10.700000,4.400000,13,2.400000,16.700000,76.700000,2033
2021/03/26 14:00:00+00,,12,3.600000,11.700000,2.100000,14.800000,79.200000,2034
2021/03/26 15:00:00+00,,12,3.500000,13.400000,1.900000,16.300000,77.600000,2035
2021/03/26 16:00:00+00,,9.200000,3.200000,14.200000,1.500000,16.500000,76.800000,2036
2021/03/26 17:00:00+00,,12.700000,4.200000,18.900000,1.100000,20.600000,72.900000,2037
2021/03/26 18:00:00+00,,10.900000,4.400000,20.300000,1.100000,22.100000,70.900000,2038
2021/03/26 19:00:00+00,,8.700000,3.600000,15.400000,0.900000,16.900000,75.200000,2039
2021/03/26 20:00:00+00,,9.300000,2.900000,12.100000,0.600000,13.200000,82.700000,2040
2021/03/26 21:00:00+00,,4.900000,2.500000,10.400000,0.600000,11.400000,83.600000,2041
2021/03/26 22:00:00+00,,6.100000,4.200000,13.500000,0.700000,14.600000,76.900000,2042
2021/03/26 23:00:00+00,,5.500000,3.600000,11.300000,0.600000,12.300000,78.300000,2043
2021/03/27 00:00:00+00,,4.800000,3.100000,10.900000,0.600000,11.800000,73,2044
2021/03/27 01:00:00+00,,7,3.400000,10.500000,0.500000,11.300000,72.300000,2045
2021/03/27 02:00:00+00,,9.500000,4.100000,10.900000,0.600000,11.800000,71.200000,2046
2021/03/27 03:00:00+00,,9.100000,4.200000,9.900000,0.500000,10.600000,70.400000,2047
2021/03/27 04:00:00+00,,9.900000,4.600000,9.900000,0.700000,10.800000,67.100000,2048
2021/03/27 05:00:00+00,,10.200000,5.100000,11.200000,0.600000,12.100000,63.200000,2049
2021/03/27 06:00:00+00,,11.700000,5.700000,13.800000,0.700000,14.900000,59.100000,2050
2021/03/27 07:00:00+00,,11,5.800000,17.800000,1.900000,20.700000,55.500000,2051
2021/03/27 08:00:00+00,,13.600000,6.600000,16.200000,2.600000,20.200000,61.600000,2052
2021/03/27 09:00:00+00,,14.700000,7,13.900000,3.200000,18.900000,64.400000,2053
2021/03/27 10:00:00+00,,13.800000,6.500000,10,2.400000,13.700000,70.300000,2054
2021/03/27 11:00:00+00,,11.100000,5.500000,8.800000,1.900000,11.700000,73.800000,2055
2021/03/27 12:00:00+00,,9.500000,4.900000,8.800000,1.800000,11.500000,74.300000,2056
2021/03/27 13:00:00+00,,10,5.100000,9.100000,1.700000,11.700000,75.200000,2057
