#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2020-01-01,6,2,8,3,5,6,0,90,9.375,1032,40.875,7,5,0,116,116,116,0,1,8.6,météo très défavorable
2020-01-02,9,7,12,6,8,9,1.7,97,5,1029,94.75,9,7,5,248,143,119,0,1,3.2,météo défavorable
2020-01-03,11,9,20,8,11,11,0.8,90,8,1029,97.25,11,8,7,122,266,122,0,1,3.2,météo défavorable
2020-01-04,8,6,11,6,7,8,0,78,10,1036,46.625,8,5,4,116,116,122,0,1,6.9,météo très défavorable
2020-01-05,10,7,4,7,8,8,0,75,10,1037,63.625,10,4,7,122,119,116,0,1,5.1,météo défavorable
2020-01-06,8,4,15,4,6,7,0,84,10,1033,15.625,8,4,1,116,116,116,0,1,8.7,météo très défavorable
2020-01-07,10,6,12,6,9,10,0,93,7,1029,78.5,11,9,5,143,116,119,0,1,5.1,météo défavorable
2020-01-08,11,10,12,10,11,11,0.2,95,8,1027,100,11,11,9,122,122,122,0,1,3.3,météo défavorable
2020-01-09,11,10,23,11,11,11,4,85,8.875,1024,96.5,11,10,9,122,176,176,0,1,3.3,météo défavorable
2020-01-10,10,8,17,9,8,8,2.2,79,8.625,1031,81.25,10,6,6,353,122,176,0,1,3.3,météo défavorable
2020-01-11,8,5,12,5,6,8,0,81,10,1034,48.125,8,5,3,116,116,122,0,1,5.1,météo très défavorable
2020-01-12,8,6,18,4,7,8,0.3,90,10,1029,80.875,8,7,2,116,122,122,0,1,3.3,météo très défavorable
2020-01-13,10,7,23,7,8,9,1,88,10,1025,83.125,10,7,5,176,122,176,0,1,3.3,météo défavorable
2020-01-14,10,7,31,9,10,7,0.3,74,10,1011,94,10,5,6,119,176,122,0,1,3.3,météo défavorable
2020-01-15,11,9,30,9,11,10,1.7,78,9,1021,50.25,11,7,6,116,116,266,0,1,6.9,météo défavorable
2020-01-16,12,7,19,6,10,11,0,92,8,1024,32.625,12,7,4,143,116,116,0,1,8.7,météo défavorable
2020-01-17,10,8,25,10,10,8,4.2,85,9.625,1023,72.5,10,7,5,176,296,119,0,1,3.3,météo défavorable
2020-01-18,8,5,11,5,7,8,0.1,80,10,1032,37,8,3,2,116,116,116,0,1,8.7,météo très défavorable
2020-01-19,7,4,19,3,6,6,0,80,10,1044,23.375,7,1,1,116,116,116,0,1,8.7,météo très défavorable
2020-01-20,7,3,17,3,5,6,0,83,10,1046,6.625,7,3,-0,116,116,116,0,1,8.7,météo très défavorable
2020-01-21,8,3,9,4,6,7,0,79,10,1044,1.375,8,2,1,113,116,113,0,1,8.7,météo très défavorable
2020-01-22,7,3,12,1,6,7,0,74,10,1039,10.375,7,0,1,116,113,116,0,1,8.7,météo très défavorable
2020-01-23,8,3,12,3,6,6,0,71,10,1034,4.375,8,1,-0,113,113,113,0,1,8.7,météo très défavorable
2020-01-24,8,3,4,2,6,8,0,58,10,1026,8,8,2,2,116,116,116,0,1,8.7,météo très défavorable
2020-01-25,8,3,7,3,6,7,0,93,9,1023,30.125,8,5,2,116,119,116,0,1,6.9,météo très défavorable
2020-01-26,10,5,14,5,8,9,0,92,7,1018,58.5,10,6,3,143,116,119,0,1,5.2,météo très défavorable
2020-01-27,9,8,23,9,9,9,9.5,84,6.5,1014,99.625,9,7,5,266,296,266,0,1,3.4,météo défavorable
2020-01-28,9,6,31,7,7,6,10.5,70,9.75,1007,78.875,9,4,1,353,353,353,0,1,5.2,météo défavorable
